File,Category,Issue,Element
404.html,Navigation,"Boş href: ""/""","<a class=""home-btn"" href=""/"">Akışa Dön</a>"
assets\html\components\navbar-en.html,UI / Media,Placeholder resim kullanılıyor,"<img alt=""Sultan"" and="""" bath="""" class=""santis-media"" data="""" data-media='\""nav_sultan_bath\""' decod"
assets\html\components\navbar-en.html,UI / Media,Placeholder resim kullanılıyor,"<img alt=""Aroma Journey – essential oils and warm stones"" class=""santis-media"" data="""" data-media='\"
assets\html\components\navbar-en.html,UI / Media,Placeholder resim kullanılıyor,"<img alt=""Sothys Hydra – advanced moisture science"" class=""santis-media"" data="""" data-media='\""nav_s"
assets\html\components\navbar-en.html,UI / Media,Placeholder resim kullanılıyor,"<img alt=""Atelier Collection – artisan hammam accessories"" class=""santis-media"" data="""" data-media='"
components\navbar-en.html,UI / Media,Placeholder resim kullanılıyor,"<img alt=""Sultan"" and="""" bath="""" class=""santis-media"" data="""" data-media='\""nav_sultan_bath\""' decod"
components\navbar-en.html,UI / Media,Placeholder resim kullanılıyor,"<img alt=""Aroma Journey – essential oils and warm stones"" class=""santis-media"" data="""" data-media='\"
components\navbar-en.html,UI / Media,Placeholder resim kullanılıyor,"<img alt=""Sothys Hydra – advanced moisture science"" class=""santis-media"" data="""" data-media='\""nav_s"
components\navbar-en.html,UI / Media,Placeholder resim kullanılıyor,"<img alt=""Atelier Collection – artisan hammam accessories"" class=""santis-media"" data="""" data-media='"
